entry,exit
34.5,34.52
34.5,34.52
34.5,34.51
34.51,34.5
34.5,34.52
34.51,34.52
34.52,34.51
34.51,34.49
34.5,34.51
34.51,34.49
34.5,34.49
34.49,34.46
34.5,34.48
34.5,34.48
34.49,34.46
34.48,34.46
34.46,34.47
34.46,34.44
34.47,34.45
34.45,34.43
34.44,34.43
34.44,34.42
34.44,34.43
34.44,34.43
34.43,34.44
34.44,34.42
34.42,34.45
34.43,34.45
34.45,34.43
34.43,34.42
34.42,34.44
34.42,34.44
34.41,34.44
34.44,34.46
34.45,34.44
34.44,34.43
34.44,34.43
34.43,34.45
34.43,34.44
34.44,34.46
34.43,34.45
34.43,34.45
34.43,34.45
34.45,34.47
34.45,34.46
34.45,34.45
34.45,34.47
34.45,34.46
34.46,34.48
34.46,34.47
34.47,34.48
34.48,34.5
34.48,34.5
34.5,34.52
34.52,34.5
34.53,34.52
34.52,34.51
34.52,34.51
34.51,34.495
34.5,34.51
34.51,34.5
34.5,34.48
34.495,34.48
34.5,34.48
34.48,34.5
34.5,34.49
34.495,34.51
34.49,34.51
34.5,34.51
34.51,34.49
34.49,34.48
34.49,34.48
34.49,34.48
34.48,34.47
34.47,34.485
34.47,34.485
34.47,34.485
34.47,34.485
34.47,34.485
34.47,34.485
34.485,34.46
34.48,34.46
34.46,34.47
34.47,34.44
34.44,34.46
34.46,34.49
34.45,34.46
34.455,34.465
34.46,34.49
34.46,34.49
34.465,34.49
34.46,34.49
34.49,34.52
34.49,34.52
34.52,34.51
34.52,34.51
34.52,34.51
34.51,34.49
34.51,34.49
34.49,34.51
34.49,34.51
34.49,34.51
34.51,34.49
34.51,34.49
34.49,34.5
34.5,34.51
34.505,34.49
34.51,34.49
34.49,34.47
34.485,34.5
34.49,34.48
34.48,34.5
34.48,34.5
34.5,34.49
34.5,34.49
34.5,34.48
34.5,34.49
34.5,34.49
34.49,34.5
34.5,34.49
34.49,34.48
34.48,34.47
34.48,34.47
34.48,34.47
34.47,34.45
34.46,34.47
34.47,34.48
34.48,34.46
34.47,34.45
34.46,34.45
34.45,34.48
34.48,34.465
34.465,34.44
34.46,34.44
34.44,34.45
34.44,34.46
34.45,34.43
34.46,34.45
34.46,34.45
34.46,34.45
34.46,34.45
34.46,34.45
34.45,34.43
34.45,34.44
34.45,34.43
34.44,34.42
34.44,34.45
34.45,34.43
34.43,34.42
34.42,34.44
34.42,34.44
34.42,34.44
34.44,34.41
34.41,34.42
34.42,34.43
34.43,34.445
34.42,34.43
34.42,34.44
34.43,34.445
34.43,34.42
34.42,34.44
34.44,34.43
34.44,34.42
34.44,34.43
34.435,34.445
34.445,34.43
34.44,34.43
34.43,34.42
34.42,34.43
34.42,34.43
34.425,34.44
34.42,34.43
34.42,34.43
34.43,34.45
34.425,34.43
34.425,34.43
34.425,34.44
34.425,34.42
34.42,34.43
34.43,34.44
34.44,34.46
34.44,34.45
34.44,34.45
34.45,34.46
34.46,34.45
34.45,34.44
34.455,34.44
34.45,34.47
34.45,34.44
34.45,34.44
34.45,34.44
34.455,34.44
34.45,34.44
34.44,34.45
34.45,34.47
34.45,34.47
34.46,34.44
34.45,34.47
34.47,34.44
34.47,34.46
34.46,34.44
34.44,34.43
34.44,34.43
34.43,34.41
34.43,34.41
34.425,34.41
34.41,34.43
34.43,34.47
34.43,34.47
34.47,34.46
34.46,34.47
34.47,34.48
34.48,34.47
34.47,34.48
34.48,34.47
34.47,34.48
34.48,34.47
34.48,34.47
34.47,34.49
34.46,34.47
34.47,34.48
34.48,34.49
34.49,34.52
34.52,34.53
34.53,34.55
34.53,34.54
34.54,34.55
34.54,34.55
34.55,34.53
34.55,34.54
34.54,34.52
34.54,34.53
34.53,34.52
34.53,34.52
34.53,34.51
34.53,34.51
34.52,34.51
34.51,34.48
34.51,34.48
34.48,34.47
34.47,34.45
34.45,34.42
34.42,34.41
34.42,34.41
34.41,34.42
34.42,34.44
34.43,34.41
34.42,34.41
34.41,34.44
34.44,34.46
34.43,34.45
34.43,34.45
34.43,34.45
34.45,34.46
34.46,34.47
34.46,34.47
34.47,34.48
34.47,34.48
34.48,34.5
34.475,34.5
34.48,34.5
34.5,34.51
34.5,34.51
34.51,34.49
34.5,34.49
34.49,34.51
34.48,34.51
34.49,34.51
34.51,34.53
34.53,34.51
34.54,34.51
34.53,34.51
34.51,34.48
34.51,34.48
34.51,34.48
34.51,34.48
34.51,34.48
34.515,34.48
34.51,34.48
34.48,34.49
34.48,34.49
34.49,34.48
34.49,34.48
34.49,34.47
34.48,34.47
34.48,34.47
34.48,34.47
34.48,34.47
34.47,34.49
34.49,34.505
34.5,34.49
34.49,34.48
34.49,34.48
34.48,34.505
34.48,34.505
34.48,34.505
34.48,34.505
34.505,34.53
34.51,34.53
34.53,34.52
34.52,34.51
34.51,34.49
34.49,34.47
34.49,34.48
34.48,34.47
34.47,34.46
34.47,34.46
34.46,34.44
34.44,34.45
34.44,34.45
34.45,34.46
34.45,34.46
34.46,34.45
34.45,34.46
34.45,34.465
34.46,34.48
34.46,34.48
34.465,34.48
34.48,34.49
34.475,34.49
34.49,34.51
34.48,34.49
34.49,34.51
34.49,34.48
34.49,34.48
34.48,34.49
34.48,34.51
34.48,34.51
34.49,34.51
34.49,34.51
34.49,34.51
34.51,34.54
34.505,34.52
34.5,34.52
34.5,34.54
34.5,34.51
34.5,34.51
34.5,34.51
34.51,34.52
34.51,34.52
34.52,34.51
34.52,34.51
34.51,34.52
34.51,34.52
34.52,34.54
34.54,34.56
34.53,34.55
34.55,34.57
34.55,34.55
34.55,34.56
34.56,34.56
